Poids,Volume,Conductivite,Opacite,Rigidite,Prix_Revente,Categorie,Source,Rapport_Collecte,texte_stem,texte_no_stem
16.708779878885796,70.94097654208932,0.0,1.0,1.0,0.8354389939442899,Papier,,"Lot de papier récupéré dans un site non renseigné. Poids léger de 16.7 kg, volume moyen. Matériau souple, non conducteur, aspect très opaque. Bon état général.",lot rcupr sit non renseign poid lger volum moyen matriau soupl non conducteur aspect tr opaqu bon tat gnral,lot rcupr site non renseign poids lger volume moyen matriau souple non conducteur aspect trs opaque bon tat gnral
47.27747627434259,64.70292526037132,0.0,,3.0,4.727747627434259,Plastique,Usine_A,"Lot plastique à l'Usine A. Volume 64.7 L, poids 47.3 kg. Aspect indéterminée, rigidité moyenne. Aucune trace de métal.",lot lusin volum poid aspect indtermin rigid moyen aucun trac mtal,lot lusine volume poids aspect indtermine rigidit moyenne aucune trace mtal
,317.41518289584855,0.0,,9.0,4.211790113681422,Verre,Usine_B,"Bris de verre ou contenants en provenance de l'Usine B. Masse non mesuré kg. Matériau dense, rigidité élevée, transparence partielle. Légère contamination observée.",bris conten proven lusin mass non mesur matriau dens rigid lev transparent partiel lgre contamin observ,bris contenants provenance lusine masse non mesur matriau dense rigidit leve transparence partielle lgre contamination observe
,21.474390728113523,0.0,,1.0,0.4420673081225436,Papier,Centre_Tri,"Feuilles et cartons collectés au Centre de Tri. Masse totale non mesuré kg. Matériau léger, souple et opaque. Lot conforme aux standards de tri.",feuill carton collect centr mass total non mesur matriau lger soupl opaqu lot conform standard,feuilles cartons collects centre masse totale non mesur matriau lger souple opaque lot conforme standards
,59.46217555431896,0.0,1.0,,0.7230037589117354,Papier,Usine_B,"Déchet de type papier identifié à l'Usine B. Volume estimé 59.5 L, poids non mesuré kg. Texture de rigidité non mesurée, très opaque.",dchet typ identif lusin volum estim poid non mesur textur rigid non mesur tr opaqu,dchet type identifi lusine volume estim poids non mesur texture rigidit non mesure trs opaque
32.95477524423183,43.962633117130494,0.0,0.3523563426524086,4.0,3.2954775244231835,Plastique,Usine_B,"Déchet plastique collecté à l'Usine B. Poids 33.0 kg, volume 44.0 L. Rigidité semi-rigide, non conducteur. Surface légèrement translucide.",dchet collect lusin poid volum rigid semirigid non conducteur surfac lgrement translucid,dchet collect lusine poids volume rigidit semirigide non conducteur surface lgrement translucide
187.7600073603065,400.170298955338,0.0,0.0127023659180002,8.0,5.6328002208091945,Verre,Collecte_Citoyenne,"Déchets en verre identifiés lors d'une collecte citoyenne. Poids 187.8 kg, volume 400.2 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",dchet identif lor dun citoyen poid volum non conducteur tr rigid ncessit manipul prcaution,dchets identifis lors dune citoyenne poids volume non conducteur trs rigide ncessite manipulation prcaution
132.167170236169,252.3468400132625,0.0,0.0112750993301854,9.0,3.96501510708507,Verre,Collecte_Citoyenne,"Déchets en verre identifiés via la collecte citoyenne. Poids 132.2 kg, volume 252.3 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",dchet identif vi citoyen poid volum non conducteur tr rigid ncessit manipul prcaution,dchets identifis via citoyenne poids volume non conducteur trs rigide ncessite manipulation prcaution
16.712284590037573,71.65516131026371,0.0,1.0,1.0,0.8356142295018787,Papier,Usine_A,"Feuilles et cartons collectés provenant de l'Usine A. Masse totale 16.7 kg. Matériau léger, souple et opaque. Matériau mélangé à d'autres déchets.",feuill carton collect proven lusin mass total matriau lger soupl opaqu matriau mlang dautr dchet,feuilles cartons collects provenant lusine masse totale matriau lger souple opaque matriau mlang dautres dchets
60.07865549577275,121.09692286684034,0.953797483036102,1.0,7.0,18.023596648731825,Métal,Centre_Tri,"Métal de récupération au centre de tri municipal. Masse 60.1 kg. Forte conductivité (0.954), rigidité élevée. Bonne valeur marchande.",mtal rcuprat centr municipal mass fort conductiv rigid lev bon valeur marchand,mtal rcupration centre municipal masse forte conductivit rigidit leve bonne valeur marchande
11.77862409916026,50.67665590448436,0.0,,1.0,0.5889312049580131,Papier,Collecte_Citoyenne,"Lot de papier récupéré via la collecte citoyenne. Poids léger de 11.8 kg, volume moyen. Matériau souple, non conducteur, aspect indéterminée. Bon état général.",lot rcupr vi citoyen poid lger volum moyen matriau soupl non conducteur aspect indtermin bon tat gnral,lot rcupr via citoyenne poids lger volume moyen matriau souple non conducteur aspect indtermine bon tat gnral
9.661897853087028,16.476206005748185,,1.0,3.0,,Papier,Usine_A,"Déchet de type papier identifié provenant de l'Usine A. Volume estimé 16.5 L, poids 9.7 kg. Texture semi-rigide, très opaque.",dchet typ identif proven lusin volum estim poid textur semirigid tr opaqu,dchet type identifi provenant lusine volume estim poids texture semirigide trs opaque
20.302234070552338,71.43188807946832,0.0,1.0,3.0,1.015111703527617,Papier,Usine_A,"Lot de papier récupéré à l'Usine A. Poids léger de 20.3 kg, volume moyen. Matériau souple, non conducteur, aspect très opaque. Bon état général.",lot rcupr lusin poid lger volum moyen matriau soupl non conducteur aspect tr opaqu bon tat gnral,lot rcupr lusine poids lger volume moyen matriau souple non conducteur aspect trs opaque bon tat gnral
33.32314011979592,51.67654950846076,0.0,0.4081230803615173,4.0,3.332314011979592,Plastique,Collecte_Citoyenne,"Déchet plastique collecté issu de la collecte citoyenne. Poids 33.3 kg, volume 51.7 L. Rigidité semi-rigide, non conducteur. Surface semi-opaque.",dchet collect issu citoyen poid volum rigid semirigid non conducteur surfac semiopaqu,dchet collect issu citoyenne poids volume rigidit semirigide non conducteur surface semiopaque
164.46263232583098,346.78177193763906,0.0,0.1632771470426124,8.0,4.93387896977493,Verre,Usine_A,"Déchets en verre identifiés provenant de l'Usine A. Poids 164.5 kg, volume 346.8 L. Non conducteur, très rigide. Nécessite manipulation avec précaution.",dchet identif proven lusin poid volum non conducteur tr rigid ncessit manipul prcaution,dchets identifis provenant lusine poids volume non conducteur trs rigide ncessite manipulation prcaution
24.36741388539637,99.5199835950106,0.0,0.36821431146603,,2.4367413885396374,Plastique,Centre_Tri,"Déchets plastiques divers au centre de tri municipal. Poids estimé 24.4 kg. Opacité légèrement translucide, souplesse variable. Légère contamination observée.",dchet plastiqu diver centr municipal poid estim opac lgrement translucid soupless variabl lgre contamin observ,dchets plastiques divers centre municipal poids estim opacit lgrement translucide souplesse variable lgre contamination observe
44.89045173884479,107.33740684729185,0.0,0.2851856646035643,4.0,4.489045173884479,Plastique,Centre_Tri,"Déchets plastiques divers au Centre de Tri. Poids estimé 44.9 kg. Opacité légèrement translucide, souplesse variable. Volume surestimé, vérification recommandée.",dchet plastiqu diver centr poid estim opac lgrement translucid soupless variabl volum surestim vrifiqu recommand,dchets plastiques divers centre poids estim opacit lgrement translucide souplesse variable volume surestim vrification recommande
32.031135479465064,65.05372554491822,0.0,0.4432351398167541,4.0,3.2031135479465065,Plastique,Usine_A,"Lot plastique en provenance de l'Usine A. Volume 65.1 L, poids 32.0 kg. Aspect semi-opaque, rigidité moyenne. Aucune trace de métal.",lot proven lusin volum poid aspect semiopaqu rigid moyen aucun trac mtal,lot provenance lusine volume poids aspect semiopaque rigidit moyenne aucune trace mtal
