Poids,Volume,Conductivite,Opacite,Rigidite,Prix_Revente,Categorie,Rapport_Collecte,Densite,Ratio_Prix_Poids,Poids_Volume_Log,src_Centre_Tri,src_Collecte_Citoyenne,src_Usine_A,src_Usine_B,src_nan
-0.9057667901122209,-1.023857730975985,-0.5499211374365451,-0.03086350340708176,-1.583522901323126,-0.8690436522308769,,"Lot de déchets non identifiés au Centre de Tri. Masse 10.6 kg. Comportement physique atypique, classification incertaine. Odeur inhabituelle signalée par l'agent.",0.6625025473407405,-0.5916273139822726,-1.947409801656773,True,False,False,False,False
-0.6184669436410015,-0.612241229736038,-0.5499211374365451,-0.15985244499772472,-0.6122104986047802,-0.5104944505302517,,"Lot de déchets non identifiés lors d'une collecte citoyenne. Masse 30.3 kg. Comportement physique atypique, classification incertaine. Traces d'humidité détectées.",-0.14027298361394003,-0.1573123794824695,-0.38343975808171515,False,True,False,False,False
-0.8172754488948634,-0.8951033136794807,-0.5499211374365451,-0.03086350340708176,-1.2597521004170107,-0.825595286897176,,"Matériau inconnu depuis l'Usine B. Poids 16.7 kg, volume 25.1 L. Propriétés mixtes. Orientation vers tri manuel.",0.028744338515076098,-0.5916272991867748,-1.1430404328394235,False,False,False,True,False
0.12675039555029713,0.05727143943652448,1.5835887965465973,-0.03086350340708176,1.006643505925796,2.5548225821870627,,"Lot de déchets non identifiés sans localisation enregistrée. Masse 81.2 kg. Comportement physique atypique, classification incertaine. Matériau mélangé à d'autres déchets.",-0.09329795297007572,1.5799473065932856,0.5554997309932836,False,False,False,False,True
-0.8766030919451349,-0.7523043256978224,-0.5499211374365451,-0.03086350340708176,-1.2597521004170107,-0.8547245675044629,,"Déchet non catégorisé collecté au Centre de Tri. Poids 12.6 kg, volume 44.3 L. Caractéristiques ambiguës. Nécessite analyse complémentaire.",-0.31906583969155766,-0.591627307540965,-0.9987245264681681,True,False,False,False,False
-0.8747019169890289,-0.5916402573500192,-0.5499211374365451,-0.03086350340708176,-1.583522901323126,-0.7465399950628177,,Déchet inclassifiable détecté depuis le Centre de Tri. Masse estimée -99.0 kg. Agent de tri recommande contrôle visuel supplémentaire. Conditionnement non conforme au protocole.,-0.40298778218728193,-0.0835421342260227,-0.7949513410258832,True,False,False,False,False
-0.13293025478315948,-0.24335635755392881,1.9684208698169992,-0.03086350340708176,0.35910190411356563,1.7898189370461568,,"Déchet non catégorisé collecté en provenance de l'Usine A. Poids 63.5 kg, volume 112.6 L. Caractéristiques ambiguës. Nécessite analyse complémentaire.",-0.06334012944199853,1.579947297619275,0.27819291483078695,False,False,True,False,False
-0.674460189205286,-0.6498863176295606,-0.5499211374365451,-0.13581118183093097,-0.2884396976986649,-0.5654786999727149,,"Lot de déchets non identifiés provenant de l'Usine A. Masse 26.4 kg. Comportement physique atypique, classification incertaine. Légère contamination observée.",-0.16247180104944428,-0.15731238363380354,-0.49303626793650324,False,False,True,False,False
-0.35757222293383484,-0.3685847021416213,-0.5499211374365451,-0.16941246957070621,-0.6122104986047802,-0.25430104261080266,,"Matériau inconnu au Centre de Tri. Poids non mesuré kg, volume 95.8 L. Propriétés mixtes. Orientation vers tri manuel.",-0.11973624280556242,-0.1573123688482206,0.05818781811728597,True,False,False,False,False
-0.9406861792454847,-0.8721767892102715,-0.5499211374365451,-0.03086350340708176,-0.9359812995108955,-0.8861887237759573,,"Matériau inconnu en provenance de l'Usine A. Poids 8.3 kg, volume 28.2 L. Propriétés mixtes. Orientation vers tri manuel.",-0.3123210775481311,-0.5916273257883315,-1.4374036593884847,False,False,True,False,False
-0.8359522875729687,-0.6939695773378115,-0.5499211374365451,-0.1194138456210061,-0.9359812995108955,-0.5367752401326606,,"Déchet non catégorisé collecté depuis le Centre de Tri. Poids 15.4 kg, volume 52.1 L. Caractéristiques ambiguës. Nécessite analyse complémentaire.",-0.30944428830499293,0.5774428809330071,-0.8176296387017062,True,False,False,False,False
-0.7285506530570804,-0.8921270842281186,-0.5499211374365451,-0.03086350340708176,-0.9359812995108955,-0.7820322976748829,,Déchet inclassifiable détecté à l'Usine A. Masse estimée 22.8 kg. Agent de tri recommande contrôle visuel supplémentaire. Traces d'humidité détectées.,0.2373088346274408,-0.5916272922498796,-0.9799571218959402,False,False,True,False,False
-0.7256920523182357,-0.808795403072949,-0.5499211374365451,-0.13791875012079002,-0.9359812995108955,-0.6157873668916648,,"Matériau inconnu en provenance de l'Usine B. Poids 22.9 kg, volume non mesuré L. Propriétés mixtes. Orientation vers tri manuel.",-0.007011228473369124,-0.15731238864522457,-0.7937295296164754,False,False,False,True,False
-0.1208775667698325,-0.07454284362409994,1.9255280937636372,-0.03086350340708176,0.35910190411356563,1.8253254341690701,,"Matériau inconnu via la collecte citoyenne. Poids 64.3 kg, volume 135.3 L. Propriétés mixtes. Orientation vers tri manuel.",-0.14444421865019225,1.5799472981454503,0.3766130428324952,False,True,False,False,False
-0.7755872213267091,-0.7859127971152815,-0.5499211374365451,-0.03086350340708176,-0.9359812995108955,-0.805126783238195,,Déchet inclassifiable détecté depuis l'Usine B. Masse estimée 19.5 kg. Agent de tri recommande contrôle visuel supplémentaire. Acheminement prioritaire demandé.,-0.13001958889865337,-0.5916272953910535,-0.8341008618929532,False,False,False,True,False
-0.5591264092598766,-0.43347154269333876,-0.5499211374365451,-0.11374797287077733,-0.9359812995108955,-0.38043296659258097,,"Lot de déchets non identifiés provenant de l'Usine A. Masse non mesuré kg. Comportement physique atypique, classification incertaine. Aucune anomalie signalée.",-0.2188988142881126,-0.030886517942553197,-0.15880868607336548,False,False,True,False,False
-0.1416743455780936,-0.13864729063526376,1.913069891215012,-0.03086350340708176,1.006643505925796,1.764059369196269,,"Matériau inconnu en provenance de l'Usine A. Poids 62.9 kg, volume 126.7 L. Propriétés mixtes. Orientation vers tri manuel.",-0.12510212592878647,1.5799472972289088,0.3324340650890945,False,False,True,False,False
1.0227056273801285,1.2556050059257013,-0.5499211374365451,-0.18844930410226443,1.3304143068319114,-0.33149782146601436,,"Lot de déchets non identifiés au Centre de Tri. Masse 142.5 kg. Comportement physique atypique, classification incertaine. Traces d'humidité détectées.",-0.16399361364537712,-0.7653532439378053,1.1978384632089123,True,False,False,False,False
-0.13740182982341803,-0.010032520183839011,1.9049824552136403,-0.03086350340708176,1.006643505925796,1.7766459447537928,,"Déchet inclassifiable détecté provenant de l'Usine A. Masse estimée 63.2 kg. Agent de tri recommande contrôle visuel supplémentaire. État dégradé, recyclage partiel possible.",-0.1779105083550568,1.5799472974205726,0.398842442028587,False,False,True,False,False
1.5438637110245788,1.6202900590351663,-0.5499211374365451,-0.18193998321481242,0.6828727050196809,-0.17796777093252333,,"Déchet non catégorisé collecté en provenance de l'Usine A. Poids 178.1 kg, volume 362.7 L. Caractéristiques ambiguës. Nécessite analyse complémentaire.",-0.13005932805896145,-0.7653532435718773,1.3825162683162215,False,False,True,False,False
